#Longitude;Latitude;LifeState;AgentID;BirthTime;Gender;Age;LastBirth
28.046;-26.044;1; 1;-10.0;0;10.0;-1.0
28.046;-26.044;1; 2;-10.0;1;10.0;-1.0
28.046;-26.044;1; 3;-10.0;0;10.0;-1.0
28.046;-26.044;1; 4;-10.0;1;10.0;-1.0
28.046;-26.044;1; 5;-10.0;0;10.0;-1.0
28.046;-26.044;1; 6;-10.0;1;10.0;-1.0
28.046;-26.044;1; 7;-10.0;0;10.0;-1.0
28.046;-26.044;1; 8;-10.0;1;10.0;-1.0
28.046;-26.044;1; 9;-10.0;0;10.0;-1.0
28.046;-26.044;1;10;-10.0;0;10.0;-1.0
28.046;-26.044;1;11;-10.0;0;10.0;-1.0
28.046;-26.044;1;12;-10.0;1;10.0;-1.0
28.046;-26.044;1;13;-10.0;0;10.0;-1.0
28.046;-26.044;1;14;-10.0;1;10.0;-1.0
28.046;-26.044;1;15;-10.0;0;10.0;-1.0
28.046;-26.044;1;16;-10.0;1;10.0;-1.0
28.046;-26.044;1;17;-10.0;0;10.0;-1.0
28.046;-26.044;1;18;-10.0;1;10.0;-1.0
28.046;-26.044;1;19;-10.0;0;10.0;-1.0
28.046;-26.044;1;20;-10.0;1;10.0;-1.0

