#Longitude;Latitude;LifeState;AgentID;BirthTime;Gender;Age
8;47;1; 1;-10.0;0;10.0
8;47;1; 2;-10.0;0;10.0
8;47;1; 3;-10.0;0;10.0
8;47;1; 4;-10.0;0;10.0
8;47;1; 5;-10.0;0;10.0
8;47;1; 6;-10.0;0;10.0
8;47;1; 7;-10.0;0;10.0
8;47;1; 8;-10.0;0;10.0
8;47;1; 9;-10.0;0;10.0
8;47;1;10;-10.0;0;10.0
8;47;1;11;-10.0;0;10.0
8;47;1;12;-10.0;0;10.0
8;47;1;13;-10.0;0;10.0
8;47;1;14;-10.0;0;10.0
8;47;1;15;-10.0;0;10.0
8;47;1;16;-10.0;0;10.0
8;47;1;17;-10.0;0;10.0
8;47;1;18;-10.0;0;10.0
8;47;1;19;-10.0;0;10.0
8;47;1;20;-10.0;0;10.0

