# LifeState,CellIdx,AgentID,CellID,BirthTime,Gender,Age,LastBirth
1,95,1,95,-10.0,0,0.0,0.0
1,95,2,95,-10.0,1,0.0,0.0
1,95,3,95,-10.0,0,0.0,0.0
1,95,4,95,-10.0,1,0.0,0.0
1,95,5,95,-10.0,0,0.0,0.0
1,95,6,95,-10.0,1,0.0,0.0
1,95,7,95,-10.0,0,0.0,0.0
1,95,8,95,-10.0,1,0.0,0.0
1,95,9,95,-10.0,0,0.0,0.0
1,95,10,95,-10.0,0,0.0,0.0
1,95,11,95,-10.0,0,0.0,0.0
1,95,12,95,-10.0,1,0.0,0.0
1,95,13,95,-10.0,0,0.0,0.0
1,95,14,95,-10.0,1,0.0,0.0
1,95,15,95,-10.0,0,0.0,0.0
1,95,16,95,-10.0,1,0.0,0.0
1,95,17,95,-10.0,0,0.0,0.0
1,95,18,95,-10.0,1,0.0,0.0
1,95,19,95,-10.0,0,0.0,0.0
1,95,20,95,-10.0,1,0.0,0.0
1,92,21,92,-10.0,0,0.0,0.0
1,92,22,92,-10.0,1,0.0,0.0
1,92,23,92,-10.0,0,0.0,0.0
1,92,24,92,-10.0,1,0.0,0.0
1,92,25,92,-10.0,0,0.0,0.0
1,92,26,92,-10.0,1,0.0,0.0
1,92,27,92,-10.0,0,0.0,0.0
1,92,28,92,-10.0,1,0.0,0.0
1,92,29,92,-10.0,0,0.0,0.0
1,92,30,92,-10.0,0,0.0,0.0
1,92,31,92,-10.0,0,0.0,0.0
1,92,32,92,-10.0,1,0.0,0.0
1,92,33,92,-10.0,0,0.0,0.0
1,92,34,92,-10.0,1,0.0,0.0
1,92,35,92,-10.0,0,0.0,0.0
1,92,36,92,-10.0,1,0.0,0.0
1,92,37,92,-10.0,0,0.0,0.0
1,92,38,92,-10.0,1,0.0,0.0
1,92,39,92,-10.0,0,0.0,0.0
1,92,40,92,-10.0,1,0.0,0.0
1,89,41,89,-10.0,0,0.0,0.0
1,89,42,89,-10.0,1,0.0,0.0
1,89,43,89,-10.0,0,0.0,0.0
1,89,44,89,-10.0,1,0.0,0.0
1,89,45,89,-10.0,0,0.0,0.0
1,89,46,89,-10.0,1,0.0,0.0
1,89,27,89,-10.0,0,0.0,0.0
1,89,48,89,-10.0,1,0.0,0.0
1,89,49,89,-10.0,0,0.0,0.0
1,89,50,89,-10.0,0,0.0,0.0
1,89,51,89,-10.0,0,0.0,0.0
1,89,52,89,-10.0,1,0.0,0.0
1,89,53,89,-10.0,0,0.0,0.0
1,89,54,89,-10.0,1,0.0,0.0
1,89,55,89,-10.0,0,0.0,0.0
1,89,56,89,-10.0,1,0.0,0.0
1,89,57,89,-10.0,0,0.0,0.0
1,89,58,89,-10.0,1,0.0,0.0
1,89,59,89,-10.0,0,0.0,0.0
1,89,60,89,-10.0,1,0.0,0.0
1,101,61,101,-10.0,0,0.0,0.0
1,101,62,101,-10.0,1,0.0,0.0
1,101,63,101,-10.0,0,0.0,0.0
1,101,64,101,-10.0,1,0.0,0.0
1,101,65,101,-10.0,0,0.0,0.0
1,101,66,101,-10.0,1,0.0,0.0
1,101,67,101,-10.0,0,0.0,0.0
1,101,68,101,-10.0,1,0.0,0.0
1,101,69,101,-10.0,0,0.0,0.0
1,101,70,101,-10.0,0,0.0,0.0
1,101,71,101,-10.0,0,0.0,0.0
1,101,72,101,-10.0,1,0.0,0.0
1,101,73,101,-10.0,0,0.0,0.0
1,101,74,101,-10.0,1,0.0,0.0
1,101,75,101,-10.0,0,0.0,0.0
1,101,76,101,-10.0,1,0.0,0.0
1,101,77,101,-10.0,0,0.0,0.0
1,101,78,101,-10.0,1,0.0,0.0
1,101,79,101,-10.0,0,0.0,0.0
1,101,80,101,-10.0,1,0.0,0.0
1,98,81,98,-10.0,0,0.0,0.0
1,98,82,98,-10.0,1,0.0,0.0
1,98,83,98,-10.0,0,0.0,0.0
1,98,84,98,-10.0,1,0.0,0.0
1,98,85,98,-10.0,0,0.0,0.0
1,98,86,98,-10.0,1,0.0,0.0
1,98,87,98,-10.0,0,0.0,0.0
1,98,88,98,-10.0,1,0.0,0.0
1,98,89,98,-10.0,0,0.0,0.0
1,98,90,98,-10.0,0,0.0,0.0
1,98,91,98,-10.0,0,0.0,0.0
1,98,92,98,-10.0,1,0.0,0.0
1,98,93,98,-10.0,0,0.0,0.0
1,98,94,98,-10.0,1,0.0,0.0
1,98,95,98,-10.0,0,0.0,0.0
1,98,96,98,-10.0,1,0.0,0.0
1,98,97,98,-10.0,0,0.0,0.0
1,98,98,98,-10.0,1,0.0,0.0
1,98,99,98,-10.0,0,0.0,0.0
1,98,100,98,-10.0,1,0.0,0.0
